conference,title,abstract,keywords
IEEE Security and Privacy 2014,Automated Analysis of Security Protocols with Global State,"Security APIs, key servers and protocols that need to keep the status of transactions, require to maintain a global, non-monotonic state, e.g., in the form of a database or register. However, existing automated verification tools do not support the analysis of such stateful security protocols - sometimes because of fundamental reasons, such as the encoding of the protocol as Horn clauses, which are inherently monotonic. An exception is the recent tamarin prover which allows specifying protocols as multiset rewrite (MSR) rules, a formalism expressive enough to encode state. As multiset rewriting is a ""low-level"" specification language with no direct support for concurrent message passing, encoding protocols correctly is a difficult and error-prone process. We propose a process calculus which is a variant of the applied pi calculus with constructs for manipulation of a global state by processes running in parallel. We show that this language can be translated to MSR rules whilst preserving all security properties expressible in a dedicated first-order logic for security properties. The translation has been implemented in a prototype tool which useqs the tamarin prover as a backend. We apply the tool to several case studies among which a simplified fragment of PKCS#11, the Yubikey security token, and an optimistic contract signing protocol.","application program interfaces, cryptographic protocols, formal verification, Horn clauses, message passing, pi calculus, specification languages, automated security protocol analysis, security API, key servers, nonmonotonic state, automated verification tools, Horn clauses, tamarin prover, multiset rewrite rules, multiset rewriting, low-level specification language, concurrent message passing, encoding protocols, error-prone process, process calculus, pi calculus, msr rules, security properties, first-order logic, prototype tool, PKCS#11, Yubikey security token, optimistic contract signing protocol, Protocols, Security, Calculus, Mathematical model, Contracts, Analytical models, Semantics, Protocol Analysis, Multiset rewriting, Security APIs,"
IEEE Security and Privacy 2014,Automated Verification of Group Key Agreement Protocols,"We advance the state-of-the-art in automated symbolic cryptographic protocol analysis by providing the first algorithm that can handle Diffie-Hellman exponentiation, bilinear pairing, and AC-operators. Our support for AC-operators enables protocol specifications to use multisets, natural numbers, and finite maps. We implement the algorithm in the TAMARIN prover and provide the first symbolic correctness proofs for group key agreement protocols that use Diffie-Hellman or bilinear pairing, loops, and recursion, while at the same time supporting advanced security properties, such as perfect forward secrecy and eCK-security. We automatically verify a set of protocols, including the STR, group Joux, and GDH protocols, thereby demonstrating the effectiveness of our approach.","cryptographic protocols, public key cryptography, set theory, automated symbolic cryptographic protocol analysis, Diffie-Hellman exponentiation, bilinear pairing, AC-operators, protocol specifications, multisets, natural numbers, finite maps, TAMARIN prover, symbolic correctness proofs, group key agreement protocols, advanced security properties, perfect forward secrecy, eCK-security, STR, group Joux, GDH protocols, Protocols, Mathematical model, DH-HEMTs, Semantics, Cryptography, Cognition,"
IEEE Security and Privacy 2014,Practical Evasion of a Learning-Based Classifier: A Case Study,"Learning-based classifiers are increasingly used for detection of various forms of malicious data. However, if they are deployed online, an attacker may attempt to evade them by manipulating the data. Examples of such attacks have been previously studied under the assumption that an attacker has full knowledge about the deployed classifier. In practice, such assumptions rarely hold, especially for systems deployed online. A significant amount of information about a deployed classifier system can be obtained from various sources. In this paper, we experimentally investigate the effectiveness of classifier evasion using a real, deployed system, PDFrate, as a test case. We develop a taxonomy for practical evasion strategies and adapt known evasion algorithms to implement specific scenarios in our taxonomy. Our experimental results reveal a substantial drop of PDFrate's classification scores and detection accuracy after it is exposed even to simple attacks. We further study potential defense mechanisms against classifier evasion. Our experiments reveal that the original technique proposed for PDFrate is only effective if the executed attack exactly matches the anticipated one. In the discussion of the findings of our study, we analyze some potential techniques for increasing robustness of learning-based systems against adversarial manipulation of data.","learning (artificial intelligence), pattern classification, security of data, learning-based classifier evasion, malicious data detection, PDFrate, learning-based systems, adversarial data manipulation, Portable document format, Training, Learning systems, Taxonomy, Malware, Feature extraction,"
IEEE Security and Privacy 2014,Doppelgänger Finder: Taking Stylometry to the Underground,"Stylometry is a method for identifying anonymous authors of anonymous texts by analyzing their writing style. While stylometric methods have produced impressive results in previous experiments, we wanted to explore their performance on a challenging dataset of particular interest to the security research community. Analysis of underground forums can provide key information about who controls a given bot network or sells a service, and the size and scope of the cybercrime underworld. Previous analyses have been accomplished primarily through analysis of limited structured metadata and painstaking manual analysis. However, the key challenge is to automate this process, since this labor intensive manual approach clearly does not scale. We consider two scenarios. The first involves text written by an unknown cybercriminal and a set of potential suspects. This is standard, supervised stylometry problem made more difficult by multilingual forums that mix l33t-speak conversations with data dumps. In the second scenario, you want to feed a forum into an analysis engine and have it output possible doppelgangers, or users with multiple accounts. While other researchers have explored this problem, we propose a method that produces good results on actual separate accounts, as opposed to data sets created by artificially splitting authors into multiple identities. For scenario 1, we achieve 77% to 84% accuracy on private messages. For scenario 2, we achieve 94% recall with 90% precision on blogs and 85.18% precision with 82.14% recall for underground forum users. We demonstrate the utility of our approach with a case study that includes applying our technique to the Carders forum and manual analysis to validate the results, enabling the discovery of previously undetected doppelganger accounts.","computer crime, Internet, meta data, standards, Doppelganger Finder, anonymous author identification, anonymous texts, writing style analysis, stylometric methods, security research community, underground forum analysis, cybercrime underworld, structured metadata, cybercriminal, supervised stylometry problem, multilingual forums, l33t-speak conversations, data dumps, Carders forum, Electronic mail, Blogs, Detectors, Manuals, Accuracy, Social network services, Stylometry, cybercrime, underground forum,"
IEEE Security and Privacy 2014,Hacking Blind,"We show that it is possible to write remote stack buffer overflow exploits without possessing a copy of the target binary or source code, against services that restart after a crash. This makes it possible to hack proprietary closed-binary services, or open-source servers manually compiled and installed from source where the binary remains unknown to the attacker. Traditional techniques are usually paired against a particular binary and distribution where the hacker knows the location of useful gadgets for Return Oriented Programming (ROP). Our Blind ROP (BROP) attack instead remotely finds enough ROP gadgets to perform a write system call and transfers the vulnerable binary over the network, after which an exploit can be completed using known techniques. This is accomplished by leaking a single bit of information based on whether a process crashed or not when given a particular input string. BROP requires a stack vulnerability and a service that restarts after a crash. We implemented Braille, a fully automated exploit that yielded a shell in under 4,000 requests (20 minutes) against a contemporary nginx vulnerability, yaSSL + MySQL, and a toy proprietary server written by a colleague. The attack works against modern 64-bit Linux with address space layout randomization (ASLR), no-execute page protection (NX) and stack canaries.","Linux, security of data, stack buffer overflow, proprietary closed-binary services hacking, open-source servers hacking, return oriented programming, blind ROP attack, write system call, Braille, nginx vulnerability, address space layout randomization, no-execute page protection, stack canaries, Linux, Computer crashes, Servers, Libraries, Registers, Linux, Layout, Sockets,"
IEEE Security and Privacy 2014,Framing Signals - A Return to Portable Shellcode,"Signal handling has been an integral part of UNIX systems since the earliest implementation in the 1970s. Nowadays, we find signals in all common flavors of UNIX systems, including BSD, Linux, Solaris, Android, and Mac OS. While each flavor handles signals in slightly different ways, the implementations are very similar. In this paper, we show that signal handling can be used as an attack method in exploits and backdoors. The problem has been a part of UNIX from the beginning, and now that advanced security measures like ASLR, DEP and stack cookies have made simple exploitation much harder, our technique is among the lowest hanging fruit available to an attacker. Specifically, we describe Sigreturn Oriented Programming (SROP), a novel technique for exploits and backdoors in UNIX-like systems. Like return-oriented programming (ROP), sigreturn oriented programming constructs what is known as a 'weird machine' that can be programmed by attackers to change the behavior of a process. To program the machine, attackers set up fake signal frames and initiate returns from signals that the kernel never really delivered. This is possible, because UNIX stores signal frames on the process' stack. Sigreturn oriented programming is interesting for attackers, OS developers and academics. For attackers, the technique is very versatile, with pre-conditions that are different from those of existing exploitation techniques like ROP. Moreover, unlike ROP, sigreturn oriented programming programs are portable. For OS developers, the technique presents a problem that has been present in one of the two main operating system families from its inception, while the fixes (which we also present) are non-trivial. From a more academic viewpoint, it is also interesting because we show that sigreturn oriented programming is Turing complete. We demonstrate the usefulness of the technique in three applications. First, we describe the exploitation of a vulnerable web server on different Linux distributions. Second, we build a very stealthy proof-of-concept backdoor. Third, we use SROP to bypass Apple's code signing and security vetting process by building an app that can execute arbitrary system calls. Finally, we discuss mitigation techniques.","computer crime, Linux, portable shellcode, signal handling, UNIX systems, BSD, Solaris, Android, Mac OS, attack method, advanced security measures, ASLR, DEP, stack cookies, sigreturn oriented programming, SROP, weird machine, attackers, process behavior, fake signal frames, exploitation techniques, OS developers, Turing complete, vulnerable Web server, Linux distributions, proof-of-concept backdoor, Apples code signing, security vetting process, mitigation techniques, Programming, Kernel, Linux, Context, Security, Registers, Program processors, Operatings system security, exploits, backdoors,"
IEEE Security and Privacy 2014,"Pivot: Fast, Synchronous Mashup Isolation Using Generator Chains","Pivot is a new JavaScript isolation framework for web applications. Pivot uses iframes as its low-level isolation containers, but it uses code rewriting to implement synchronous cross-domain interfaces atop the asynchronous cross-frame postMessage( ) primitive. Pivot layers a distributed scheduling abstraction across the frames, essentially treating each frame as a thread which can invoke RPCs that are serviced by external threads. By rewriting JavaScript call sites, Pivot can detect RPC invocations, Pivot exchanges RPC requests and responses via postMessage( ), and it pauses and restarts frames using a novel rewriting technique that translates each frame's JavaScript code into a restart able generator function. By leveraging both iframes and rewriting, Pivot does not need to rewrite all code, providing an order-of-magnitude performance improvement over rewriting-only solutions. Compared to iframe-only approaches, Pivot provides synchronous RPC semantics, which developers typically prefer over asynchronous RPCs. Pivot also allows developers to use the full, unrestricted JavaScript language, including powerful statements like eval( ).","Java, program compilers, rewriting systems, Web sites, generator chains, synchronous mashup isolation, JavaScript isolation framework, Web applications, iframes, low-level isolation containers, code rewriting, synchronous cross-domain interfaces, asynchronous cross-frame postMessage() primitive, Pivot, distributed scheduling abstraction, JavaScript call sites, RPC invocations, RPC requests, rewriting technique, JavaScript code, restartable generator function, order-of-magnitude performance improvement, rewriting-only solutions, iframe-only approaches, unrestricted JavaScript language, eval(), Libraries, Satellites, Generators, Runtime, Reactive power, Browsers, Security,"
IEEE Security and Privacy 2014,SoK: Automated Software Diversity,"The idea of automatic software diversity is at least two decades old. The deficiencies of currently deployed defenses and the transition to online software distribution (the ""App store"" model) for traditional and mobile computers has revived the interest in automatic software diversity. Consequently, the literature on diversity grew by more than two dozen papers since 2008. Diversity offers several unique properties. Unlike other defenses, it introduces uncertainty in the target. Precise knowledge of the target software provides the underpinning for a wide range of attacks. This makes diversity a broad rather than narrowly focused defense mechanism. Second, diversity offers probabilistic protection similar to cryptography-attacks may succeed by chance so implementations must offer high entropy. Finally, the design space of diversifying program transformations is large. As a result, researchers have proposed multiple approaches to software diversity that vary with respect to threat models, security, performance, and practicality. In this paper, we systematically study the state-of-the-art in software diversity and highlight fundamental trade-offs between fully automated approaches. We also point to open areas and unresolved challenges. These include ""hybrid solutions"", error reporting, patching, and implementation disclosure attacks on diversified software.","cryptography, mobile computing, probability, software performance evaluation, SoK, automated software diversity, online software distribution, App store model, mobile computers, software attacks, probabilistic protection, cryptography, program transformations, error reporting, implementation disclosure attacks, patching attacks, Security, Operating systems, Layout, Encoding, Registers, Monitoring,"
IEEE Security and Privacy 2014,KCoFI: Complete Control-Flow Integrity for Commodity Operating System Kernels,"We present a new system, KCoFI, that is the first we know of to provide complete Control-Flow Integrity protection for commodity operating systems without using heavyweight complete memory safety. Unlike previous systems, KCoFI protects commodity operating systems from classical control-flow hijack attacks, return-to-user attacks, and code segment modification attacks. We formally verify a subset of KCoFI's design by modeling several features in small-step semantics and providing a partial proof that the semantics maintain control-flow integrity. The model and proof account for operations such as page table management, trap handlers, context switching, and signal delivery. Our evaluation shows that KCoFI prevents all the gadgets found by an open-source Return Oriented Programming (ROP) gadget-finding tool in the FreeBSD kernel from being used, it also reduces the number of indirect control-flow targets by 98.18%. Our evaluation also shows that the performance impact of KCoFI on web server bandwidth is negligible while file transfer bandwidth using OpenSSH is reduced by an average of 13%, and at worst 27%, across a wide range of file sizes. Postmark, an extremely file-system intensive benchmark, shows 2x overhead. Where comparable numbers are available, the overheads of KCoFI are far lower than heavyweight memory-safety techniques.","file servers, Internet, object-oriented programming, operating system kernels, public domain software, KCoFI, commodity operating system kernels, control-flow hijack attacks, return-to-user attacks, code segment modification attacks, formal verification, small-step semantics, control-flow integrity, page table management, trap handlers, signal delivery, open-source return oriented programming gadget-finding tool, open-source ROP gadget-finding tool, FreeBSD kernel, indirect control-flow targets, Web server bandwidth, file transfer bandwidth, OpenSSH, PostMark, file-system intensive benchmark, heavyweight memory-safety techniques, Kernel, Context, Instruments, Hardware, Instruction sets, Security, control-flow integrity, operating systems, Free BSD, compiler, formal verification,"
IEEE Security and Privacy 2014,Dancing with Giants: Wimpy Kernels for On-Demand Isolated I/O,"To be trustworthy, security-sensitive applications must be formally verified and hence small and simple, i.e., wimpy. Thus, they cannot include a variety of basic services available only in large and untrustworthy commodity systems, i.e., in giants. Hence, wimps must securely compose with giants to survive on commodity systems, i.e., rely on giants' services but only after efficiently verifying their results. This paper presents a security architecture based on a wimpy kernel that provides on-demand isolated I/O channels for wimp applications, without bloating the underlying trusted computing base. The size and complexity of the wimpy kernel are minimized by safely outsourcing I/O subsystem functions to an untrusted commodity operating system and exporting driver and I/O subsystem code to wimp applications. Using the USB subsystem as a case study, this paper illustrates the dramatic reduction of wimpy-kernel size and complexity, e.g., over 99% of the USB code base is removed. Performance measurements indicate that the wimpy-kernel architecture exhibits the desired execution efficiency.","formal verification, operating systems (computers), peripheral interfaces, software architecture, trusted computing, trustworthy, security-sensitive applications, formal verification, commodity systems, giants services, security architecture, on-demand isolated I/O channels, wimp applications, trusted computing, wimpy kernel size, wimpy kernel complexity, I/O subsystem functions, untrusted commodity operating system, USB subsystem, USB code base, wimpy-kernel architecture, Kernel, Universal Serial Bus, Security, Hardware, Complexity theory, Linux,"
